facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
TESORO RISTORANTE,"967 OLD COUNTRY  ROAD,  WESTBURY",2025-01-14,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8F-   Improper thawing procedures used; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14C-   Pesticide application not supervised by a certified applicator; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",1.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,967 OLD COUNTRY  ROAD,WESTBURY,11590,291400,N. HEMPSTEAD,TESORO RISTORANTE,2026-06-30T00:00:00.000,TESORO RISTORANTE,WESTBURY RESTAURANT CORP,,,579377,Inspection,1/4 “A”|Seats: 95|Permit: exp 06/30/2024|FMTC: A.V. #1220084158|Hot water noted reaching 140ºF.,NY,"(40.754458, -73.560456)"
ATLANTIC PIZZERIA,"171 ATLANTIC AVENUE,  FREEPORT",2026-03-10,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,171 ATLANTIC AVENUE,FREEPORT,11520,290400,HEMPSTEAD,ATLANTIC PIZZERIA,2026-08-31T00:00:00.000,,ATLANTIC PIZZERIA INC.,,,750108,Re-Inspection,Violations corrected.,NY,"(40.645785, -73.583171)"
RALPH'S ITALIAN ICES,"2250 A WASHINGTON AVENUE,  SEAFORD",2025-07-24,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,2250 A WASHINGTON AVENUE,SEAFORD,11783,295045,HEMPSTEAD,RALPH'S ITALIAN ICES,2027-02-28T00:00:00.000,,2250 A  WASHINGTON AVE INC,,,673984,Inspection,Score “A”|Permit exp 2/26|0 seats,NY,"(40.666811, -73.484736)"
DUNKIN DONUTS/BASKIN ROBBINS,"6   OCEAN AVENUE,  LYNBROOK",2026-01-09,"Item  8B-   In use food dispensing utensils improperly stored; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,6   OCEAN AVENUE,LYNBROOK,11563,290700,HEMPSTEAD,DUNKIN DONUTS/BASKIN ROBBINS,2026-05-31T00:00:00.000,,BSK DONUTS LLC,,,739473,Inspection,Permit expires May 2026|10 seats|Score “A”,NY,"(40.666974, -73.660747)"
KOOKABURRA COFFEE COMPANY,"69 NORTH VILLAGE  AVENUE,  ROCKVILLE CENTRE",2025-02-26,"Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,69 NORTH VILLAGE  AVENUE,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,KOOKABURRA COFFEE COMPANY,2027-02-28T00:00:00.000,KOOKABURRA COFFEE COMPANY,EVOLUTION SALES & CONSULTING INC,,,573342,Re-Inspection,,NY,"(40.65891, -73.647859)"
OUR TOWN GRILLE,"303 HEMPSTEAD AVENUE,  MALVERNE",2025-02-06,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,303 HEMPSTEAD AVENUE,MALVERNE,11565,293900,HEMPSTEAD,OUR TOWN GRILLE,2026-07-31T00:00:00.000,OUR TOWN GRILLE,JERICH FOODS INC,,,574840,Inspection,"Seatings: 45: Food Permit# F117448-Expires July 31, 2025, Food Manager’s Certificate: R.F # 42207-Expires September 30, 2026|Inspection ratings: 0/4”A”",NY,"(40.676727, -73.668448)"
JAMBA JUICE KIOSK (LOWER LEVEL),"630 OLD COUNTRY  ROAD,  GARDEN CITY",2025-09-12,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,630 OLD COUNTRY  ROAD,GARDEN CITY,11530,290500,HEMPSTEAD,JAMBA JUICE  KIOSK  (LOWER LEVEL),2027-03-31T00:00:00.000,,JJ ROOSEVELT LLC,,,799204,Inspection,permit expires 3/31/26|Nassau County FMTC E.M. exp. 7/31/26 certificate no.1453855042|Rating A,NY,"(40.743098, -73.614169)"
"SALOON, THE","1016 WEST BEECH STREET,  LONG BEACH",2025-09-19,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1016 WEST BEECH STREET,LONG BEACH,115611204,290200,LONG BEACH,THE SALOON,2026-04-30T00:00:00.000,THE SALOON,1016 WEST BEECH RESTAURANT CORP,,,569940,Re-Inspection,Violations corrected.,NY,"(40.585955, -73.697025)"
AMERICAN LEGION POST #44,"250 FRANKLIN AVE / PO BOX 44,  MALVERNE",2022-03-24,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,250 FRANKLIN AVE / PO BOX 44,MALVERNE,11565,293900,HEMPSTEAD,AMERICAN LEGION POST #44,2026-06-30T00:00:00.000,MALVERNE POST 44 AMER LEGION,AMERICAN LEGION POST #44,,,576517,Re-Inspection,No violations noted.,NY,"(40.67622, -73.67549)"
LUCKY BOY RESTAURANT,"636 ROCKAWAY  TURNPIKE,  LAWRENCE",2024-08-06,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,636 ROCKAWAY  TURNPIKE,LAWRENCE,11559,292400,HEMPSTEAD,LUCKY BOY RESTAURANT,2026-05-31T00:00:00.000,LUCKY BOY RESTAURANT,636 ROCKAWAY CORP,,,570224,Re-Inspection,No violation was noted at the time of inspection.,NY,"(40.632586, -73.738789)"
GINO'S,"5159 MERRICK  ROAD,  MASSAPEQUA PARK",2025-10-07,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;",0.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,5159 MERRICK  ROAD,MASSAPEQUA PARK,11762,291500,OYSTER BAY,GINO'S,2026-10-31T00:00:00.000,,MASSAPEQUA PARK PIZZA INC,,,555415,Inspection,Food Managers JR expires February 2027. Certificate# 862820242,NY,"(40.666406, -73.446025)"
BARBARA'S BAGELS,"113 MINEOLA  AVENUE,  ROSLYN HEIGHTS",2026-03-02,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,6.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,113 MINEOLA  AVENUE,ROSLYN HEIGHTS,11577,295112,N. HEMPSTEAD,BARBARA'S BAGELS,2026-10-31T00:00:00.000,BARBARA'S BAGELS,113 MINEOLA AVENUE INC,,,569954,Inspection,0/6 “B”|Seats: 8|Permit: exp 10/31/2026|FMTC (Suffolk): A.S.A. A83037 exp 01/19/2026,NY,"(40.788297, -73.651019)"
DOMINICK'S ITALIAN & AMERICAN DELI,"401 HERRICKS  ROAD,  NEW HYDE PARK",2026-02-20,"Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,2.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,401 HERRICKS  ROAD,NEW HYDE PARK,11040,291201,N. HEMPSTEAD,DOMINICK'S ITALIAN & AMERICAN DELI,2027-03-31T00:00:00.000,,BELLA CALABRIA FARMS INC,,,789193,Re-Inspection,,NY,"(40.748309, -73.657687)"
EL RANCHO CATRACHO,"131 JACKSON  STREET,  HEMPSTEAD",2024-12-06,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,131 JACKSON  STREET,HEMPSTEAD,11550,290600,HEMPSTEAD,EL RANCHO CATRACHO,2027-01-31T00:00:00.000,EL RANCHO CATRACHO,EL RANCHO CATRACHO REST INC,,,572741,Inspection,"Seatings: 96: Food Manager’s Certificate: C.B# 1292811269-Expires November 30, 2026, Food Permit# F0115007-Expires January 31, 2025|Inspection ratings: 0/5”A”",NY,"(40.710379, -73.625302)"
CENTRO CUCINA,"43C GLEN COVE ROAD,  GREENVALE",2025-03-24,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 14A-   Insects, rodents present;",0.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,43C GLEN COVE ROAD,GREENVALE,11548,295107,N. HEMPSTEAD,CENTRO CUCINA,2026-06-30T00:00:00.000,,GDA 43C INC,,,665188,Inspection,0/4 “A”|Seats: 61|Permit: exp 06/30/2025|FMTC: G.C. #45438 exp 11/30/2025|Hot water noted reaching 140ºF and rising.,NY,"(40.809067, -73.627872)"
PO SING KITCHEN,"2042 NORTH JERUSALEM ROAD,  NORTH BELLMORE",2025-12-02,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2042 NORTH JERUSALEM ROAD,NORTH BELLMORE,11710,295032,HEMPSTEAD,PO SING KITCHEN,2026-10-31T00:00:00.000,,PO SING CORP.,,,752754,Inspection,Rating: A |Seats: 9|FMTC: |1). H.G. #47538 exp 1/31/28|Food permit: F0113518 exp 10/31/26,NY,"(40.70141, -73.551759)"
NAPOLI PIZZERIA & RESTAURANT,"116 NORTHERN BOULEVARD,  GREAT NECK",2025-10-02,"Item 14A-   Insects, rodents present;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,116 NORTHERN BOULEVARD,GREAT NECK,11021,291300,N. HEMPSTEAD,NAPOLI PIZZERIA & RESTAURANT,2026-10-31T00:00:00.000,NAPOLI PIZZERIA RESTAURANT,831 INC,,,570252,Inspection,"Food Managers certification: KS #4475 exp May 31, 2026|Permit exp October 31, 2025|Food and Allergies supplement provided. |extermination log - last visit 9/15|3-compartment sink 133ºF",NY,"(40.774839, -73.731396)"
EDDIE D'S PIZZA,"367 NORTH CENTRAL  AVENUE,  VALLEY STREAM",2025-08-01,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,367 NORTH CENTRAL  AVENUE,VALLEY STREAM,11580,291000,HEMPSTEAD,EDDIE D'S PIZZA,2026-05-31T00:00:00.000,,EDDIE D'S PIZZA,,,572567,Re-Inspection,There’s no violation at the time of inspection.,NY,"(40.677461, -73.709471)"
IAVARONE BROS QUALITY FOODS,"1538 UNION  TURNPIKE,  NEW HYDE PARK",2024-10-17,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,5.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,1538 UNION  TURNPIKE,NEW HYDE PARK,11040,291201,N. HEMPSTEAD,IAVARONE BROS QUALITY FOODS,2026-12-31T00:00:00.000,IAVARONE BROS QUALITY FOODS,IAVARONE ENTERPRISES INC,,,574155,Inspection,"Food Permit# F0114385-Expires December 31, 2024, Food Manager’s Certificate: A. D. # 45132-ExpiresFebruary 28, 2026, Food Manager’s Certificate: S.R.# 872984711-Expires September 30, 2027|Inspection ratings:0/5”A”",NY,"(40.75467, -73.687959)"
GARDEN CITY POOL,"52 CHERRY VALLEY AVENUE,  GARDEN CITY",2024-06-25,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,52 CHERRY VALLEY AVENUE,GARDEN CITY,11530,290500,HEMPSTEAD,GARDEN CITY POOL,2026-07-31T00:00:00.000,GARDEN CITY POOL,D & J REFRESHMENTS INC,,,572963,Inspection,Rating A|Permit expires 7/31/24,NY,"(40.723817, -73.643208)"
DUNKIN DONUTS,"3151 LAWSON BOULEVARD,  OCEANSIDE",2025-01-02,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,3151 LAWSON BOULEVARD,OCEANSIDE,11572,295040,HEMPSTEAD,DUNKIN DONUTS,2026-05-31T00:00:00.000,,FRJ LAWSON DONUTS INC,,,699537,Inspection,Score: A|Permit: F0115639 - Expiration date:  May 31/2025|Seats: 18|FMTC: No posted,NY,"(40.634278, -73.653722)"
POLISH AMERICAN CULTURAL ASSOCIATION,"5 PULASKI  PLACE,  PORT WASHINGTON",2024-02-05,"Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14C-   Pesticide application not supervised by a certified applicator;",0.0,0.0,3.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,5 PULASKI  PLACE,PORT WASHINGTON,110502446,295111,N. HEMPSTEAD,POLISH AMERICAN CULTURAL ASSOCIATION,2024-05-31T00:00:00.000,,PACA INC,FABIS,TED,577752,Inspection,,NY,"(40.844371, -73.695658)"
HARBOR DAY CARE CENTER,"999  HERRICKS  ROAD,  NEW HYDE PARK",2025-12-12,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,999  HERRICKS  ROAD,NEW HYDE PARK,11040,291200,HEMPSTEAD,HARBOR DAY CARE CENTER,2040-12-31T00:00:00.000,HARBOR DAY CARE CENTER,HARBOR DAY CARE CENTER,HARBOR,DAY CARE,573119,Re-Inspection,Violations noted to be corrected.,NY,"(40.760552, -73.660452)"
TWIN OAKS COUNTRY DAY SCHOOL,"458 BABYLON  TURNPIKE,  FREEPORT",2025-04-09,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,458 BABYLON  TURNPIKE,FREEPORT,11520,290400,HEMPSTEAD,TWIN OAKS COUNTRY DAY SCHOOL,2040-12-31T00:00:00.000,TWIN OAKS COUNTRY DAY SCHOOL,TWIN OAKS COUNTRY DAY SCHOOL,ELMAN,BARBARA,579137,Inspection,"Children bring their own lunches.  |School provides snacks - goldfish, graham crackers, fruit - apples, bananas|Gloves noted.  |Soap and paper towels noted at hand wash sinks|CS - fmtc exp.  Dec 2025 no.  46924|Licensed for 168 children -  2 to 5 years of age|Grade A",NY,"(40.668162, -73.574892)"
MI OLIVIA RESTAURANT,"660 FULTON  AVENUE,  HEMPSTEAD",2025-12-16,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance;",1.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,660 FULTON  AVENUE,HEMPSTEAD,115504545,290600,HEMPSTEAD,MI OLIVIA RESTAURANT,2026-08-31T00:00:00.000,,MI OLIVIA RESTAURANT CORP,,,576480,Inspection,"Seatings: 63: Food Manager’s Certificate: R.R # 45558-Expires April 2028, Food Permit# F0117468-Expires August31, 2026|Inspection ratings: 1/4”A”",NY,"(40.712003, -73.609312)"
MAMA VENEZIA PIZZA,"420  NEWBRIDGE ROAD,  HICKSVILLE",2025-05-07,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,6.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,420  NEWBRIDGE ROAD,HICKSVILLE,11801,295205,OYSTER BAY,MAMA VENEZIA PIZZA,2027-04-30T00:00:00.000,,MAMA VENEZIA PIZZA INC,,,674836,Inspection,Food Managers Js expires March 2027. Certificate # 41350,NY,"(40.747946, -73.533792)"
RIESTERER'S BAKERY,"282 HEMPSTEAD  AVENUE,  WEST HEMPSTEAD",2024-03-20,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14C-   Pesticide application not supervised by a certified applicator;",1.0,0.0,2.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,282 HEMPSTEAD  AVENUE,WEST HEMPSTEAD,115522039,295049,HEMPSTEAD,RIESTERER'S BAKERY,2027-04-30T00:00:00.000,RIESTERERS BAKERY,RIESTERER'S BAKERIES CORP,,,577760,Inspection,Score 1/2 “A”|Food Manager: C.R. 45477 expires Nov 30 2026 |Permit expires April 30 2024|Seat count: 17,NY,"(40.701271, -73.646736)"
SUBWAY #25289,"821 A HEMPSTEAD  TURNPIKE,  ELMONT",2026-03-13,"Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 14A-   Insects, rodents present; Item 14C-   Pesticide application not supervised by a certified applicator;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,821 A HEMPSTEAD  TURNPIKE,ELMONT,11003,295013,HEMPSTEAD,SUBWAY #25289,2027-01-31T00:00:00.000,SUBWAY #25289,RANJIT SINGH & COMPANY INC,,,577338,Re-Inspection,,NY,"(40.70733, -73.69425)"
HAND ROLLED BAGELS,"930 HILLSIDE AVENUE,  NEW HYDE PARK",2025-02-10,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;",0.0,0.0,1.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,930 HILLSIDE AVENUE,NEW HYDE PARK,11040,291201,N. HEMPSTEAD,HAND ROLLED BAGELS,2026-07-31T00:00:00.000,HAND ROLLED BAGELS,NJ BAGEL CORP,,,577029,Re-Inspection,"Foods Permit# F0117637-Expires July 31, 2025: A Food Manager’s Cert: N.S. 111# 1637240522-Expires February 29, 2028",NY,"(40.743673, -73.69263)"
CARVEL ICE CREAM #879,"80 COVERT  AVENUE,  STEWART MANOR",2025-12-22,"Item 12A-   Hot, cold running water not provided, pressure inadequate;",0.0,0.0,1.0,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,80 COVERT  AVENUE,STEWART MANOR,11530,296500,HEMPSTEAD,CARVEL ICE CREAM #879,2026-08-31T00:00:00.000,CARVEL ICE CREAM #879,VAJ ICE CREAM INC,,,579604,Inspection,Permit expires August 2026|0 seats|Score “A”,NY,"(40.720927, -73.688415)"
BELLMORE/MERRICK CSD-GRAND AVE MS,"2301 GRAND AVENUE,  BELLMORE",2025-11-12,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;",0.0,0.0,3.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,2301 GRAND AVENUE,BELLMORE,11710,299900,NASSAU SCHOOLS,BELLMORE/MERRICK SD - GRAND AVE MIDDLE SCHOOL,2027-01-31T00:00:00.000,,BELLMORE/MERRICK CHSD,,,572689,Inspection,"Score: 0/3 “A”|Permit Expires: January 31, 2026|FMTC: C.M.; Cert #: 104246253; Cert Exp: April 30, 2028|Milk expiration date: November 17, 2025 to November 20 2025|November 2025 Menu Attached.",NY,"(40.668324, -73.542908)"
"WALDORF SCHOOL OF GARDEN CITY, THE","225 CAMBRIDGE  AVENUE,  GARDEN CITY",2025-12-18,"Item 14A-   Insects, rodents present; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,5.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,225 CAMBRIDGE  AVENUE,GARDEN CITY,11530,299900,NASSAU SCHOOLS,THE WALDORF SCHOOL OF GARDEN CITY,2026-01-31T00:00:00.000,,THE WALDORF SCHOOL OF GARDEN CITY,,,579485,Inspection,"Score: 0/5 “A”|Permit Expires: January 31, 2026|FMTC: J.A.G.; Cert #: 43432; Cert Exp: January 31, 2026|December 2025 and January 2026 Menu Attached",NY,"(40.717595, -73.654922)"
WOODEN SHOE NURSERY SCHOOL,"1049 HUNTER  AVENUE,  VALLEY STREAM",2023-09-18,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,1049 HUNTER  AVENUE,VALLEY STREAM,11580,291000,HEMPSTEAD,WOODEN SHOE NURSERY SCHOOL,2040-12-31T00:00:00.000,WOODEN SHOE NURSERY SCHOOL,ROSEMARIE MEYER INC,MEYER,ROSEMARIE,578290,Inspection,Score: 0/0 “A”|Z Permit|Seat Count: 109 students (5 months to 4 years old)|Lunch Delivery: Five Loaves - Inwood (see menu attached),NY,"(40.679918, -73.717733)"
AGRIGENTO BAKERY,"4032 AUSTIN  BOULEVARD,  ISLAND PARK",2025-08-20,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,6.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,4032 AUSTIN  BOULEVARD,ISLAND PARK,115581227,296100,HEMPSTEAD,AGRIGENTO BAKERY,2026-09-30T00:00:00.000,AGRIGENTO BAKERY,"AGRIGENTO BAKERY, INC.",,,570786,Inspection,Score: B|Permit: F0117833 - Expiration date: September 30/2025|Seats: 8|FMTC: No posted on site,NY,"(40.611133, -73.64509)"
ISLAND HARVEST SUMMER FOOD SERVICE,"126 SPAGNOLI ROAD,  MELVILLE",2025-07-16,No violations found.,0.0,0.0,0.0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Nassau  County,NASSAU,126 SPAGNOLI ROAD,MELVILLE,11747,299900,NASSAU SCHOOLS,Leadership Training Institute-CCRY,,,,,,966921,Inspection,"number of meals-40 meals|temperature of food at time of delivery-36 degrees Fahrenheit |time of delivery-8:40am|number of kids on site-40|types of food- Chicken Cesar salad, milk, and vegetables, and fruit juice|ambient thermometer-yes|instant read thermometer-yes|gloves-yes|handwashing signs-yes|paper towels-yes|soap-yes|temperature of milk- 42 degrees Fahrenheit |temperature of hand sink-110 degrees Fahrenheit|temperature of salad-44 degrees Fahrenheit",NY,"(40.741478, -73.640137)"
TUTOR TIME CHILD CARE,"3062 HEMPSTEAD  TURNPIKE,  LEVITTOWN",2025-01-28,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,3062 HEMPSTEAD  TURNPIKE,LEVITTOWN,11756,295024,HEMPSTEAD,TUTOR TIME CHILD CARE,2040-12-31T00:00:00.000,TUTOR TIME CHILD CARE,TUTOR TIME LEARNING SYSTEMS INC,TALESE,TAMMI L,579133,Inspection,"Licensed for 191 children - 6 weeks to 12 years of age ; facility provides breakfast, lunch and snacks. US foods provides food for facility.  Soap and paper towels noted at handwash sinks.  Thermometers noted in refrigeration units.  Gloves available.|Grade A",NY,"(40.724685, -73.523097)"
GARDEN CITY COUNTRY CLUB SNACK BAR,"206 STEWART AVENUE,  GARDEN CITY",2025-09-03,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,206 STEWART AVENUE,GARDEN CITY,11530,290500,HEMPSTEAD,GARDEN CITY COUNTRY CLUB SNACK BAR,2026-09-30T00:00:00.000,,GARDEN CITY COUNTRY CLUB SNACK BAR,,,556859,Inspection,Rating A|permit expires 9/30/25,NY,"(40.724715, -73.664374)"
DUNKIN DONUTS,"336 NORTH BROADWAY,  JERICHO",2024-09-24,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,336 NORTH BROADWAY,JERICHO,11753,295206,OYSTER BAY,DUNKIN DONUTS,2026-10-31T00:00:00.000,,NEILKAMAL ENTERPRISES INC,,,576581,Re-Inspection,hot water at 3 compartment sink measured at 136 degrees F.,NY,"(40.780805, -73.53167)"
